Changed directory to /rds/user/tdb47/hpc-work/planning/thinker_private_planning/probing.

JobID: 58393844
======
Time: Wed Aug  7 22:57:37 BST 2024
Running on master node: gpu-q-17
Current directory: /rds/user/tdb47/hpc-work/planning/thinker_private_planning/probing

Nodes allocated:
================
gpu-q-17

numtasks=1, numnodes=1, mpi_tasks_per_node=1 (OMP_NUM_THREADS=1)

Executing command:
==================
python create_probe_dataset.py --env_name probing- --model_name 10m --num_episodes 5000 --pct_train 0.6 


Initializing env 0 with device cpu
Data collected from episode 416 with episode length of 119
Data collected from episode 417 with episode length of 116
Data collected from episode 418 with episode length of 28
Data collected from episode 419 with episode length of 118
Data collected from episode 420 with episode length of 117
Data collected from episode 421 with episode length of 12
Data collected from episode 422 with episode length of 116
Data collected from episode 423 with episode length of 36
Data collected from episode 424 with episode length of 13
Data collected from episode 425 with episode length of 119
Data collected from episode 426 with episode length of 119
Data collected from episode 427 with episode length of 25
Data collected from episode 428 with episode length of 117
Data collected from episode 429 with episode length of 118
Data collected from episode 430 with episode length of 119
Data collected from episode 431 with episode length of 116
Data collected from episode 432 with episode length of 116
Data collected from episode 433 with episode length of 116
Data collected from episode 434 with episode length of 50
Data collected from episode 435 with episode length of 120
Data collected from episode 436 with episode length of 16
Data collected from episode 437 with episode length of 37
Data collected from episode 438 with episode length of 46
Data collected from episode 439 with episode length of 120
Data collected from episode 440 with episode length of 22
Data collected from episode 441 with episode length of 58
Data collected from episode 442 with episode length of 53
Data collected from episode 443 with episode length of 117
Data collected from episode 444 with episode length of 117
Data collected from episode 445 with episode length of 25
Data collected from episode 446 with episode length of 118
Data collected from episode 447 with episode length of 67
Data collected from episode 448 with episode length of 116
Data collected from episode 449 with episode length of 42
Data collected from episode 450 with episode length of 115
Data collected from episode 451 with episode length of 116
Data collected from episode 452 with episode length of 61
Data collected from episode 453 with episode length of 33
Data collected from episode 454 with episode length of 117
Data collected from episode 455 with episode length of 115
Data collected from episode 456 with episode length of 120
Data collected from episode 457 with episode length of 115
Data collected from episode 458 with episode length of 117
Data collected from episode 459 with episode length of 115
Data collected from episode 460 with episode length of 29
Data collected from episode 461 with episode length of 118
Data collected from episode 462 with episode length of 119
Data collected from episode 463 with episode length of 16
Data collected from episode 464 with episode length of 119
Data collected from episode 465 with episode length of 41
Data collected from episode 466 with episode length of 117
Data collected from episode 467 with episode length of 116
Data collected from episode 468 with episode length of 115
Data collected from episode 469 with episode length of 119
